Feature ID,Feature Name,Clean Feature Name,Target,Diameter,Center Latitude,Center Longitude,Northernmost Latitude,Southernmost Latitude,Easternmost Longitude,Westernmost Longitude,Coordinate System,Continent Ethnicity,Feature Type,Feature Type Code,Quad,Approval Status,Approval Date,Reference,Origin,Additional Info,Last Updated
1172,Chernava Colles,Chernava Colles,Venus,1000.00,-10.50,335.50,-10.50,-10.50,335.50,335.50,+E (0-360),Russia,"Collis, colles",CO,v43,Approved,1997,[107],"Russian sea maiden, sea czar's daughter.",,"Dec 30, 2008"
14999,Chernykh Regio,Chernykh Regio,Steins,7.50,-20.00,60.00,-20.00,-20.00,60.00,60.00,+E (0-360),Soviet,"Regio, regiones",RE,-,Approved,"May 09, 2012",[274],"Nikolai Stepanovich; Soviet and Ukrainian astronomer, discovered asteroid (2867) Steins (1931-2004).",None,"May 09, 2012"
1173,Chernyshev,Chernyshev,Moon,59.31,47.01,174.41,47.99,46.03,175.84,172.98,+E (0-360),Soviet,"Crater, craters",AA,LAC-32,Approved,1970,-,Nikolaj Gavrilovich; Soviet rocketry engineer (1906-1963).,,"Oct 18, 2010"
8275,Chernyshev B,Chernyshev B,Moon,20.91,48.30,176.01,48.64,47.95,176.53,175.49,+E (0-360),Soviet,Satellite Feature,SF,LAC-18,Approved,2006,-,Nikolaj Gavrilovich; Soviet rocketry engineer (1906-1963).,,"Oct 18, 2010"
950,C. Herschel,C  Herschel,Moon,13.70,34.48,328.71,34.71,34.26,329.00,328.45,+E (0-360),Great Britain,"Crater, craters",AA,LAC-24,Approved,1935,[68],Caroline Lucretia; British astronomer (1750-1848).,,"Oct 18, 2010"
8045,C. Herschel C,C  Herschel C,Moon,7.04,37.23,327.38,37.34,37.11,327.53,327.24,+E (0-360),Great Britain,Satellite Feature,SF,LAC-24,Approved,2006,[68],Caroline Lucretia; British astronomer (1750-1848).,,"Oct 18, 2010"
8046,C. Herschel E,C  Herschel E,Moon,5.03,34.21,325.31,34.29,34.13,325.42,325.21,+E (0-360),Great Britain,Satellite Feature,SF,LAC-24,Approved,2006,[68],Caroline Lucretia; British astronomer (1750-1848).,,"Oct 18, 2010"
8047,C. Herschel U,C  Herschel U,Moon,3.30,36.20,328.56,36.26,36.15,328.62,328.49,+E (0-360),Great Britain,Satellite Feature,SF,LAC-24,Approved,2006,[68],Caroline Lucretia; British astronomer (1750-1848).,,"Oct 18, 2010"
8048,C. Herschel V,C  Herschel V,Moon,3.46,36.46,326.51,36.52,36.40,326.58,326.44,+E (0-360),Great Britain,Satellite Feature,SF,LAC-24,Approved,2006,[68],Caroline Lucretia; British astronomer (1750-1848).,,"Oct 18, 2010"
1174,Cherskaya Patera,Cherskaya Patera,Venus,85.00,-5.20,232.50,-5.20,-5.20,232.50,232.50,+E (0-360),Russia,"Patera, paterae",PE,v39,Approved,2003,[64],"Mavra Pavlovna; Russian explorer of E. Siberia, wife of Ivan Chersky (c. 1850 - c. 1900).",,"Dec 30, 2008"
1175,Chersonesus,Chersonesus,Mars,0.00,-49.67,100.00,-49.67,-49.67,100.00,100.00,+E (0-360),Greek,Albedo Feature,AL,mc28,Approved,1958,[60],Gallipoli Peninsula.,,"Oct 01, 2006"
15033,Chesterton,Chesterton,Mercury,37.23,88.51,233.10,88.95,88.07,250.09,215.79,+E (0-360),England,"Crater, craters",AA,H-01,Approved,"Sep 17, 2012",[75],Gilbert Keith; English author (1874-1936).,None,"Sep 17, 2012"
1176,Chevallier,Chevallier,Moon,51.83,45.01,51.57,45.86,44.15,52.78,50.36,+E (0-360),Great Britain,"Crater, craters",AA,LAC-27,Approved,1935,[66],Temple; British astronomer (1794-1873).,,"Oct 18, 2010"
8276,Chevallier B,Chevallier B,Moon,12.05,45.15,51.96,45.35,44.96,52.24,51.68,+E (0-360),Great Britain,Satellite Feature,SF,LAC-27,Approved,2006,[66],Temple; British astronomer (1794-1873).,,"Oct 18, 2010"
8277,Chevallier F,Chevallier F,Moon,8.53,46.20,56.60,46.34,46.06,56.80,56.39,+E (0-360),Great Britain,Satellite Feature,SF,LAC-27,Approved,2006,[66],Temple; British astronomer (1794-1873).,,"Oct 18, 2010"
8278,Chevallier K,Chevallier K,Moon,5.56,43.52,50.86,43.61,43.42,50.99,50.74,+E (0-360),Great Britain,Satellite Feature,SF,LAC-27,Approved,2006,[66],Temple; British astronomer (1794-1873).,,"Oct 18, 2010"
8279,Chevallier M,Chevallier M,Moon,16.27,46.04,51.16,46.31,45.77,51.55,50.78,+E (0-360),Great Britain,Satellite Feature,SF,LAC-27,Approved,2006,[66],Temple; British astronomer (1794-1873).,,"Oct 18, 2010"
1177,Chia,Chia,Mars,91.91,1.57,300.35,2.35,0.80,301.13,299.58,+E (0-360),Spain,"Crater, craters",AA,mc10,Approved,1985,[36],Town in Spain.,,"Nov 17, 2010"
1178,Chiang K'ui,Chiang K ui,Mercury,41.00,14.71,257.20,15.19,14.22,257.70,256.70,+E (0-360),China,"Crater, craters",AA,H-07,Approved,1976,[80],Chinese composer (12th century).,None,"Oct 07, 2016"
1179,Chico Valles,Chico Valles,Mars,446.35,-66.77,207.77,-65.02,-70.45,218.01,201.31,+E (0-360),Argentina,"Vallis, valles",VA,mc30,Approved,2003,[36],River in Argentina.,,"Oct 01, 2006"
1180,Chih Nu Dorsum,Chih Nu Dorsum,Venus,625.00,-73.00,195.00,-73.00,-73.00,195.00,195.00,+E (0-360),China,"Dorsum, dorsa",DO,v59,Approved,1994,[111],Chinese sky goddess.,,"Oct 01, 2006"
15955,Chikyu Rupes,Chikyu Rupes,Mercury,561.00,-53.82,100.38,-49.03,-58.60,104.33,96.43,+E (0-360),Japan,"Rupes, rupēs",RU,H-13,Approved,"Jan 12, 2021",[598],Japanese; a scientific drilling ship built for the Integrated Ocean Drilling Program to conduct deep-sea geological research.,None,"Jan 25, 2021"
15585,Chilwa Lacus,Chilwa Lacus,Titan,19.80,75.00,228.70,75.20,74.80,229.20,227.90,+E (0-360),Malawi,"Lacus, lacūs",LC,-,Approved,"Jun 06, 2017",[349],Lake in Malawi and Mozambique.,None,"Jun 06, 2017"
1181,Chimbote,Chimbote,Mars,62.86,-1.42,320.32,-0.89,-1.95,320.85,319.79,+E (0-360),Peru,"Crater, craters",AA,mc19,Approved,1976,[36],Town in Peru.,,"Nov 17, 2010"
1182,Chimon-mana Tessera,Chimon mana Tessera,Venus,1500.00,-3.00,270.00,-3.00,-3.00,270.00,270.00,+E (0-360),Hopi,"Tessera, tesserae",TE,-,Approved,1997,[107],Hopi (SW USA) goddess of insane.,,"Oct 01, 2006"
1183,Chincoteague,Chincoteague,Mars,34.03,41.20,124.12,41.49,40.92,124.50,123.74,+E (0-360),United States,"Crater, craters",AA,mc07,Approved,1979,[36],"Town in Virginia, USA.",,"Nov 17, 2010"
14662,Chingaso,Chingaso,Rhea,47.80,-17.10,254.00,-17.10,-17.10,254.00,254.00,+E (0-360),Peru,"Crater, craters",AA,-,Approved,"Apr 23, 2010",[236],Jivaro (Peru) wife of the creator god Kumpara.,,"Apr 23, 2010"
1184,Ching-Te,Ching Te,Moon,3.70,20.02,29.97,20.08,19.96,30.03,29.90,+E (0-360),China,"Crater, craters",AA,LAC-42,Approved,1976,-,Chinese male name.,,"Oct 18, 2010"
6985,Ching-tu,Ching tu,Titan,0.00,-30.00,155.00,-30.00,-30.00,155.00,155.00,+E (0-360),China,Albedo Feature,AL,-,Approved,2006,[83],Chinese Buddhist paradise where those who attain salvation will live in unalloyed happiness.,,"Oct 01, 2006"
1185,Chinju,Chinju,Mars,65.71,-4.52,317.86,-3.96,-5.07,318.41,317.30,+E (0-360),Republic of Korea,"Crater, craters",AA,mc19,Approved,1976,[36],Town in the Republic of Korea.,None,"Feb 10, 2012"
